weekly_self_study_hours,attendance_percentage,total_score,class
13.2,76.1,89.9,B
13.6,80.6,65.8,B
14.5,83.3,99.4,B
14.7,94.9,99.4,B
20.1,88.8,86.3,B
15.4,64.1,86.1,B
20.1,100,93.9,B
14.4,69.9,82.3,B
15.6,91.3,86.4,B
1,95.3,50.4,B
21.4,100,100,B
17.4,68.2,100,B
22,77.3,100,B
0,84.2,60.7,B
29.6,76.6,100,B
14,85.9,78.9,B
22.8,74.6,100,B
7.7,87.2,73.3,B
19.3,85.3,83.2,B
7.6,100,71.2,B
10.6,92.6,88.7,B
28.4,95.9,100,B
13.7,88.6,91.6,B
16.5,80.4,97.3,B
21.1,90.5,100,B
18.5,80.2,100,B
16.1,75.1,98.2,B
17.6,89.7,77.7,B
31.8,100,100,B
14.6,91,84.5,B
16.4,99.3,88.4,B
22.4,90.7,100,B
22.7,100,100,B
23.3,97.4,100,B
19.5,98.5,95.5,B
7,87,58.2,B
26.4,91.1,98,B
7,82.7,78.1,B
17.1,76.6,100,B
9.7,80,89.7,B
14.6,81.9,98,B
17.3,76.8,100,B
17.2,85,93.7,B
18,97.4,100,B
26.3,84.8,100,B
18.2,63.2,62.8,B
13.3,79.3,100,B
21.7,83.5,100,B
23.3,100,100,B
6.4,78.2,60.3,B
19.2,77.6,100,B
19.9,83.4,100,B
12.9,88,79.3,B
24.6,72.8,100,B
13.9,88.2,66.3,B
15.9,89.2,88.4,B
13.8,78.1,76.2,B
15.1,88.2,92.3,B
7.3,73.5,73.9,B
4.9,76.9,49.4,B
26.2,77.9,100,B
9.1,78.6,70,B
8.1,82.3,66.4,B
0,80.9,53.6,B
10.5,74.2,76.2,B
5.7,100,62.4,B
26.5,81.4,100,B
22.1,82.3,100,B
10.2,99,82.1,B
30.8,100,100,B
21.9,85.9,95,B
12.7,90.9,68.2,B
0,81.8,49.9,B
31,75.3,100,B
5.3,84.1,68.6,B
3.5,85.3,43.9,B
22.2,85.9,100,B
32.1,100,100,B
24.7,83,100,B
18.9,73.6,95.4,B
19.2,76.3,100,B
21,82.6,96.9,B
20.3,64.2,82.4,B
17,63,89.8,B
15.7,84.6,83.8,B
14.6,82.9,69.9,B
9.7,80.8,82.4,B
13,82.7,79.3,B
3.1,84.6,69.3,B
14.3,68.9,98.7,B
8.1,81.5,81.5,B
7.3,86.5,56.9,B
16.3,90.9,90.4,B
24.7,72.3,100,B
21.4,100,100,B
4,83.4,64.1,B
8.1,83.5,92.4,B
21.6,99.4,100,B
8.1,70.6,72.4,B
13.4,81.3,86.6,B
18.9,90.2,100,B
8.2,74.7,62.4,B
15.7,78.3,89.9,B
5.7,76.5,72.8,B
10.8,90,82.4,B
17.2,92.3,100,B
3.8,78,47.6,B
18.1,74.9,100,B
14.9,89.1,75,B
18.9,85.3,91.3,B
16.6,91.9,99.5,B
24.5,85.5,100,B
15.9,65.4,89.8,B
12,88.3,69.1,B
15.9,86.1,98.7,B
18.8,88.2,99.9,B
15.3,93.1,87.3,B
15.3,94.5,100,B
10.1,85,88.5,B
10.4,92.5,85.1,B
5.2,76.8,64.1,B
27.2,69.4,100,B
6.3,76.2,52.7,B
10.1,64,81.4,B
10,82.2,69.5,B
21.3,71.8,100,B
12.9,88.2,73.7,B
23.7,71.5,97.6,B
10.3,68.5,86.5,B
17,100,87.5,B
9.2,82.7,82.7,B
30,82.2,100,B
6.7,95.7,62.5,B
17.2,66.8,94.1,B
19.4,69.8,100,B
17.9,79.5,82.7,B
13.7,81.3,78.3,B
14.1,89.7,75.7,B
15.3,72,99.9,B
14,87.3,83.5,B
21.7,71.2,100,B
30.5,82.5,100,B
11.1,93.1,76.7,B
5.4,64.8,48.5,B
14.4,77.9,78.9,B
33.1,66,100,B
9.4,94.7,83,B
26.5,88.1,98.8,B
26.7,89.2,100,B
11.1,92,66.1,B
19,78.4,100,B
26.4,74.4,100,B
12.3,91.8,82.3,B
13.6,71.8,87.4,B
10.9,82.3,71.1,B
7.9,84.7,67,B
10.5,68.3,73.1,B
6.4,94.4,68.1,B
15.2,89.1,86.5,B
9.6,66.3,79.1,B
16.6,85.1,79.2,B
4.1,87.9,50.5,B
17.3,93.4,100,B
20.8,90.3,100,B
1,74.2,60.3,B
17.6,61.9,99.5,B
23.6,97.3,96.5,B
6.5,73.7,54.7,B
26.7,81,100,B
17.9,80.3,77.7,B
10.1,72.3,75,B
14.6,100,75.5,B
18.9,66.1,91.5,B
15.5,73.5,97.3,B
18.8,71.4,93.9,B
8.6,85.2,64.3,B
16.2,86.4,72,B
5.1,85,65.5,B
14.2,88.9,78.4,B
8.7,58.9,65.2,B
9.9,89.7,71.3,B
23.7,91,100,B
22.6,98,100,B
19.3,62.9,91.9,B
7.4,86.9,79.2,B
12.8,100,82.1,B
23.5,86.4,100,B
16,94.6,98.5,B
31.2,92.7,100,B
17.8,90.5,93,B
16.3,76.4,81.2,B
12.8,77.8,71.3,B
15.9,88.4,79,B
13.9,82.8,91.8,B
20,81.1,95.8,B
21.7,80.9,100,B
9.5,78.1,77,B
5.7,90.1,68.5,B
2.1,86.1,58.7,B
18.6,94.2,95.5,B
7.3,93.6,66.1,B
0,86.4,51.7,B
17.7,86.2,94.8,B
32.5,100,100,B
15,100,81.2,B
20.9,78.6,100,B
15.6,76.5,97.4,B
14.3,100,72.3,B
21.4,77.1,98.7,B
13,89.4,75.1,B
16.9,76.6,87.3,B
17.3,87.9,88.1,B
10.3,85.1,68.9,B
21.9,91.2,100,B
13.8,81.3,74.1,B
9.7,93.5,80.1,B
18.8,60.6,85.7,B
8.7,81.6,65.8,B
15.2,79.2,84.8,B
14.9,83.5,93,B
22.6,70.8,100,B
18.3,73.8,95.3,B
14.8,69.4,93.3,B
20.7,87.1,91.6,B
24.7,100,100,B
18.9,75.2,100,B
15.1,100,83.4,B
5.8,84.1,59.8,B
7.5,80,76.7,B
12.9,81.2,86,B
10.7,96.3,69.5,B
13.7,83.4,98.7,B
15.4,92.8,89.6,B
18.7,86.3,95.3,B
14.5,81.3,81.8,B
18.4,80.5,100,B
15.5,74.7,86.5,B
1.2,81.8,40.6,B
8.4,85.2,68,B
14,89.7,88,B
6.5,91.1,77.6,B
19.2,85.1,100,B
25.7,78.9,100,B
23.5,96.4,100,B
13.5,77.4,97.1,B
25.4,68.5,100,B
16,85.2,83.9,B
12.6,63.7,95.1,B
10.7,98.2,82.3,B
12.9,88.6,91,B
12.3,93.8,70.1,B
16.2,87.2,94.2,B
16.1,89.6,97.5,B
15,73.7,88.7,B
18.1,89.6,100,B
23.3,62.7,100,B
21.6,91,100,B
4.6,83.3,55.4,B
0,75.1,43.6,B
21.5,80.4,87.5,B
5.4,84.4,57.2,B
13.4,88.2,94.3,B
6.8,79,62.2,B
2.4,97.4,47.4,B
18.8,100,100,B
20.3,75.6,80.3,B
11,70.3,72.9,B
0,76.9,60.7,B
11.2,84.6,88.6,B
17.7,91.4,82.9,B
4.6,82.9,61.4,B
16.3,86.5,80.3,B
14.9,78.7,74.3,B
19.1,83.8,98.8,B
15.8,82.4,80.6,B
8.2,71.8,40.1,B
23.4,100,100,B
13.9,83,100,B
14.8,95.5,78.5,B
8.5,75.9,63.9,B
11.9,78.6,89.9,B
8.8,94.5,64.2,B
13.8,77.9,81.9,B
27,92.7,100,B
5.4,80.8,65.2,B
3.7,90.2,54.6,B
25.3,72.9,100,B
13.5,83.6,66.2,B
10.3,95.6,85.9,B
22.3,78,95.6,B
10.8,89.4,76.8,B
27.8,89.7,100,B
19.7,87.9,94.4,B
11.6,91,98.7,B
30.1,72.7,100,B
10.8,64,61.6,B
20.2,91,100,B
17.1,87.8,94.1,B
24.1,71.3,100,B
25.9,88.4,100,B
15.2,85.9,82.9,B
9.7,83.7,63.3,B
18.2,84.6,93,B
10.3,83.2,68.4,B
29.1,75.4,100,B
16,79.7,100,B
12.4,83.4,63.5,B
16.3,100,91.8,B
5.6,99.2,53.1,B
8.2,99.3,53.4,B
23.4,88.8,95.6,B
10.4,96.5,80.9,B
7.7,56.1,56.7,B
18.8,76.8,87.5,B
23.3,84.2,100,B
20,90.9,100,B
22,84.2,100,B
9.7,64.4,52.9,B
5,96.4,67.4,B
25.5,74.8,100,B
12.7,84.8,76.7,B
13.2,87.9,60.9,B
24.3,91.8,100,B
18.9,88.8,99.5,B
18.2,82,100,B
30.2,76.2,100,B
10.5,89.7,76.2,B
21.5,81.2,100,B
15.4,86.5,89.4,B
16.9,67.8,90.4,B
25.7,89.7,100,B
18.6,81.2,91.9,B
18.8,74.1,100,B
22.5,90.8,100,B
12.4,79.7,74.9,B
9.1,78.7,46.7,B
7.7,72.6,66,B
1.2,90.6,50.3,B
29.4,93.1,100,B
7.3,76.8,55.8,B
13.5,90.5,84.8,B
13.1,69.1,88.4,B
17.2,83.6,96.4,B
20.7,79.2,100,B
21,78.9,94.8,B
10.9,97.9,77.5,B
13.8,90.3,79.2,B
17,76.4,93.1,B
13.3,83.3,100,B
26.3,91.1,100,B
18.4,91.5,70.5,B
20.1,81.6,95.8,B
19.6,87.7,97,B
23.2,89.9,100,B
16.3,70.5,88.2,B
5.9,79.7,80.6,B
17.8,90.4,93,B
10.4,68.1,50.3,B
11.3,92.5,84.8,B
19.1,81.6,100,B
23.7,82.8,92.5,B
15.1,79,86.2,B
17.2,74.2,84.5,B
26.9,92.5,93.9,B
16.7,69.9,88.9,B
33.2,70.7,100,B
19,79.9,100,B
2.7,85.9,44.8,B
20.3,93.5,100,B
17.7,84.8,92.2,B
24,83.5,100,B
19.7,78.6,100,B
14,86.1,93.4,B
6.4,73.6,66.5,B
13.5,73.8,83.1,B
9,78,66.8,B
10.9,92.4,89.2,B
19.1,79.3,94,B
26.7,75.8,100,B
17.8,93.2,90.5,B
6.6,100,63.5,B
18.1,81.3,93.4,B
23.4,84.8,87.3,B
10.7,76.6,89.9,B
14.1,88.1,86.6,B
15.1,71.9,88,B
9.5,93.9,63.3,B
19.5,80.8,98.9,B
14.2,81.4,87,B
17.9,79.7,78.6,B
8.8,87.3,78.2,B
11.9,84.9,84,B
20.1,100,88.7,B
12.4,91.1,92.6,B
27.1,68.4,100,B
12.2,77.8,79.3,B
16.6,87.7,92.6,B
21.5,100,100,B
5.1,75.6,54.4,B
2.7,99.9,56.1,B
4.3,73.1,54.7,B
23.8,89.7,100,B
11.1,91.4,100,B
32.9,91.6,100,B
11.1,96,78.5,B
16.3,86,75.6,B
25.8,89.2,100,B
29,85.5,100,B
29.4,81.1,100,B
23.5,96,100,B
22.2,74,100,B
19.1,84.3,95.2,B
20.4,80.5,100,B
11.1,81.1,80.1,B
9.3,70.3,77.7,B
15,74.3,98.3,B
13.8,79.8,73.8,B
11.8,86.8,50.6,B
19.9,78.5,100,B
21.7,83.3,100,B
15.6,80.6,100,B
25.3,86.2,100,B
7,78.2,58.1,B
13.6,86.6,75.6,B
10,79.7,67.7,B
1.9,98.3,70.1,B
14.4,94.3,98.3,B
14.1,82.2,85.3,B
25.6,96.1,93.4,B
19.4,73.1,92.2,B
7.8,91,77.8,B
28,87.5,100,B
23.5,76.3,100,B
19.1,89.2,98.6,B
13.4,87.3,96.9,B
8.3,100,75.4,B
12.4,96.5,81.8,B
22.6,83.2,100,B
28.2,99.1,100,B
25.8,70,100,B
11.6,86.2,76.9,B
7.2,74.6,62.9,B
16,100,94,B
2.6,100,49.2,B
17.3,81.9,89.7,B
14,82.8,91.8,B
11.7,81.3,89.8,B
3.8,88.5,55.6,B
18.6,72.4,98.7,B
11.3,94.1,79.7,B
6.8,80,55.9,B
0,96.5,34.7,B
14.8,73.9,100,B
27.4,73.9,100,B
26.6,96.1,100,B
11.8,98.8,91.8,B
10.8,80.2,89.2,B
18.3,82.7,97.3,B
8,83.5,68.9,B
17.1,93.2,90.9,B
20.4,84.9,96.1,B
23.6,76.9,100,B
14.3,87.3,79,B
13.6,98.4,87.7,B
8.9,93.2,64.1,B
9.2,92.9,74.7,B
13.4,83.3,95.3,B
17.6,66.4,93.4,B
21.4,98.4,100,B
9.4,83.4,77.8,B
25.4,92.3,100,B
13.1,58.2,92.5,B
14.9,90.7,72.3,B
9.8,96.7,65,B
0,81.6,46.6,B
21.2,79.2,100,B
20.2,91.1,99.2,B
13,80.9,70.4,B
15.5,70.1,89.6,B
18.6,93,93,B
4.1,96.1,63.4,B
11.3,96.4,93.2,B
20.6,93.5,95.4,B
6.2,86.6,78.6,B
17.1,83.2,88.8,B
5.5,91.4,63.2,B
18.3,98.6,88.9,B
14.8,74.3,95.4,B
3.7,77,48.8,B
23.2,80.2,90.8,B
9.9,88.3,76.3,B
9.3,84.5,77.2,B
16.4,94.6,94.9,B
23,88.6,77.5,B
7.9,69.6,78.6,B
15.4,66.3,95.8,B
18,91.5,100,B
19.9,100,93.5,B
16.2,76.4,84.5,B
12.4,90.8,82.6,B
9.2,84.7,71.5,B
15.6,100,93.1,B
7.5,86,80.2,B
0,84.6,66,B
18.1,93.5,100,B
21.3,94,100,B
0,90,57.5,B
7.9,98.5,49,B
19.3,93.8,87.5,B
29.4,100,100,B
15.1,71.5,100,B
9.9,74.8,66.3,B
13.7,86.5,63.6,B
24.6,72.5,100,B
10.5,82.5,79.8,B
9.4,79.1,80.7,B
11.6,88.6,79.8,B
8.3,78.8,50.1,B
15.9,78.5,78.4,B
26.4,84.8,100,B
17.3,86.7,96.1,B
13.2,63.8,74,B
13,92.8,84.9,B
4.1,85.3,75.9,B
21.2,91.2,100,B
14.5,90.2,98.6,B
13.7,70.3,70.2,B
37.4,81.5,100,B
17.1,84.6,92.4,B
9.7,83.4,87.9,B
12,75.3,64.3,B
23,74.3,100,B
15.8,86.2,98.7,B
4.9,100,80.3,B
21.4,75.7,100,B
10.3,88.6,82.4,B
28.1,100,100,B
22.6,86.2,87.9,B
11.9,100,78,B
24,100,100,B
15.5,100,84.2,B
21,91.9,93.6,B
18.4,100,95.8,B
9.1,91.1,87,B
10.5,98.7,63.9,B
22.2,81.1,93.1,B
12.7,96.3,89.8,B
12.2,89.5,96.2,B
8.3,78.8,62.8,B
18,76.3,95.4,B
29.4,89,100,B
7.5,97.4,74.1,B
15.2,87.7,100,B
24.9,100,100,B
14.4,81.6,81.9,B
18.2,79.3,100,B
7.6,74.7,78.2,B
18,92.4,73.4,B
13.7,93.3,78,B
21.9,89.4,100,B
23.3,95.7,100,B
33.1,83.8,100,B
19.1,85.9,100,B
17.3,96.9,100,B
16.4,86.6,85.8,B
12.5,83.6,98.1,B
17.4,72.5,96.9,B
12.9,81,84.3,B
16.2,81.5,100,B
24.2,76,99.8,B
8,93.1,69.8,B
23,70.4,100,B
24.2,95.8,100,B
14.2,77,82.6,B
0.1,91.9,62.6,B
10.7,80.2,85.9,B
24.1,100,100,B
14.8,97.9,85.6,B
8,87.4,82.8,B
11.5,100,53.6,B
20.9,94.1,100,B
18.8,92.9,89.9,B
13.3,98.6,98.3,B
12.4,54.1,83.9,B
12.3,90.9,71.7,B
8.5,88.7,61.4,B
26.3,97.3,100,B
12.7,77.8,95.8,B
23.5,86.6,100,B
25.6,90.8,100,B
22,68.6,100,B
12,90.8,85.4,B
17.8,70.8,99.5,B
14.8,100,100,B
8.7,85.8,50.4,B
17.3,69.7,95.4,B
6.7,86.2,73.6,B
23.3,90.6,100,B
11.7,90.7,85.8,B
16.4,83.4,85.3,B
17,64.4,97.8,B
13.2,73,77.4,B
19.1,89.7,81.3,B
11.7,84.4,72.3,B
21.1,75.8,83.8,B
5.6,80.4,74.8,B
15.9,84.2,100,B
28.6,80.6,100,B
8,60.6,60.5,B
10.3,71.1,78.6,B
18.6,79.3,98.8,B
16.3,85.5,100,B
17.5,78.7,100,B
18.4,87,100,B
19.4,93.9,100,B
22.8,100,96.8,B
17.9,78.2,95.4,B
13.3,100,75.8,B
19.7,77.3,100,B
28.3,90.9,100,B
14.1,90.5,76.3,B
8.2,85.4,63.1,B
22.7,75.3,100,B
14.2,78.3,79.8,B
0,96.4,53.8,B
20.9,95.2,100,B
11.3,81.3,85.2,B
14.4,75.6,87,B
17.3,85.7,91,B
16.3,94.2,89.7,B
20,67.3,99.4,B
12,91.6,87.3,B
18.6,83.2,97.1,B
13.2,100,87.7,B
20.2,75.4,100,B
19.3,79,100,B
8.5,87.3,86.8,B
22.6,84.8,98.3,B
11.2,87.5,91,B
20.7,94.1,99.9,B
17.6,90.8,92.6,B
27.9,76.9,100,B
13.4,79.5,87.7,B
12.6,92.8,82.4,B
14.9,83.5,92.5,B
12.9,91.3,90.2,B
20.6,70.8,96.1,B
3.7,79.8,57.1,B
7.6,100,65.2,B
7.5,76.5,74.1,B
21.7,75.5,100,B
27,82.3,100,B
14.3,87.6,94.7,B
13.8,88.2,68.8,B
15.5,92.9,83.1,B
23.1,72.5,96.1,B
8.5,73.4,63,B
16.7,75.5,91.6,B
21.8,91.5,100,B
18.5,77,87,B
16.3,95,91.5,B
22,67.2,99.2,B
0,89,60.7,B
19.7,84.5,100,B
10.4,98.1,87.8,B
2.2,95.2,52.6,B
18.6,89.1,81.3,B
24.6,100,100,B
14,86.1,100,B
21.7,95.7,97.4,B
26.3,82.3,100,B
24.2,91.9,100,B
26.5,74.2,100,B
20.2,80.6,100,B
15.5,82.4,97.8,B
3.8,74.1,49.3,B
13.3,73.5,93.1,B
9.1,75.5,44.6,B
30.2,82.7,100,B
13.8,100,96.9,B
15.9,88.6,100,B
18.9,93.9,100,B
15.3,84,89,B
26.9,98,100,B
10.6,93.7,73.5,B
16.4,76.6,76.9,B
9.8,86.9,65.5,B
5.8,79,58.8,B
10.7,95.6,80.2,B
14.7,77.1,84.3,B
12,90.2,64.5,B
10.2,88,66.3,B
5.2,91.5,56,B
14.4,90.9,79.5,B
4.5,100,40.7,B
20.3,85.2,73.2,B
15.6,79,83.1,B
4.8,81.4,63,B
12.8,79.9,82.9,B
9.7,72.4,76.4,B
17.2,88.7,98.8,B
24.4,70.3,100,B
1.9,95.8,65.2,B
15.8,87,71,B
13.9,84.6,92.8,B
19.7,93.1,100,B
16.5,67.3,97.8,B
9.7,74.4,53.1,B
12.8,77.3,83.7,B
9.4,72.9,79.4,B
22.5,98.7,94.7,B
15.1,88.1,90.5,B
28.3,81.9,100,B
14.6,80,88.4,B
10,100,61.9,B
4.4,78.7,61.3,B
2.4,84.3,60.9,B
3.9,86.4,57.8,B
16.9,74.5,99.1,B
18.6,84.5,93.9,B
3.9,79.3,65.6,B
21.3,89.9,95.5,B
11.6,98.8,78.7,B
16,86.7,100,B
26.3,81.8,100,B
21.3,84.6,100,B
13.1,85.4,96.6,B
8.8,100,76.9,B
0,81.5,36.6,B
10,96,87.1,B
13.5,78.5,89.1,B
8.1,79.3,77.6,B
14.1,86.8,88.1,B
15.5,80.9,86.5,B
13.4,100,91.3,B
10.4,87.7,74.6,B
16.2,83,85.4,B
18.1,74.5,100,B
7.4,90.6,85.7,B
24.9,74.3,100,B
14.3,86.8,81.4,B
15.1,78.4,86.3,B
20,82.1,88.7,B
16.6,71.8,88.8,B
21.7,79.6,99.2,B
17,83.6,100,B
10.7,79.5,90.3,B
17.5,74.1,100,B
7,87.2,62.5,B
15.8,90.9,100,B
14.8,85.1,72.7,B
13.5,83.9,77.2,B
14.1,93,87.2,B
1.8,100,55.9,B
11.2,77.5,77.5,B
15.6,80.8,96.1,B
16.1,73.7,94.3,B
7.8,80.9,71.7,B
23.9,86.4,100,B
8.9,74.5,74.1,B
21.8,86.8,100,B
18,79.1,100,B
10.5,67.7,79,B
27.4,96.8,100,B
6.6,82.3,63,B
21.4,80.9,100,B
22,80.1,100,B
10.3,81.4,73.4,B
24.7,80.7,100,B
13.2,88.4,99.1,B
17,82.5,98.7,B
16.8,77.7,98,B
14.1,87.7,89.4,B
20.7,80.2,100,B
20.6,95.9,100,B
2.8,100,71.7,B
24.1,88.3,100,B
3.4,62.3,79.5,B
22.2,100,96.4,B
22.9,99.8,100,B
7.4,93.1,75,B
12.1,91.6,100,B
7.3,84.6,66.4,B
13.5,83.4,73.8,B
12.8,96.2,77,B
20.5,89,100,B
24.2,89.7,100,B
24.8,73.7,100,B
11.1,91.9,71.7,B
13.5,82.3,78.5,B
3.2,87.9,89.1,B
9.4,85.2,71.6,B
21.8,83.8,96.4,B
26.3,73.9,100,B
6.4,82.7,63.2,B
10.9,97.3,57.2,B
14.8,87,88,B
17,92.7,90.5,B
9.3,93.5,74.3,B
18,82.5,86.1,B
11.7,66.2,86.1,B
14.9,90.9,88.6,B
18.8,84.2,89,B
15,80.8,100,B
11.9,96.8,67.3,B
14.2,80.2,79.2,B
14.4,91.6,97.2,B
12.4,80.8,82.9,B
13.2,91.3,69.6,B
26.2,89.7,100,B
18.9,87,100,B
12.9,84.7,81.9,B
19.9,84.6,100,B
12.7,100,95.5,B
23.2,80.7,97.5,B
17.6,63.4,77.8,B
14.2,77.6,99,B
18.1,72,87.4,B
4,94.2,59.3,B
7.1,88.8,86.8,B
6.6,86.7,63.8,B
16,90.4,100,B
27.1,96.5,100,B
30.6,81.1,100,B
19.5,78.9,100,B
18.5,77,100,B
2.4,100,42.2,B
11.2,88.2,84.9,B
9.5,83.7,66,B
10.7,92.3,63.8,B
13.8,64.7,76.1,B
11.7,82.7,84.8,B
1.1,100,62.5,B
20.2,89.9,88.8,B
7.5,81.2,88.8,B
16.7,68.4,73.8,B
29.5,91.7,100,B
8.6,83,82.4,B
0,73.1,59.2,B
13,70,76.7,B
22.7,84,99.5,B
28.7,68.5,100,B
6.4,70.8,69.9,B
18.5,84,93.4,B
11.7,87,60.1,B
14.3,67.8,76.4,B
33.5,74.4,100,B
4.5,88.7,74.1,B
16.8,79.4,100,B
18.3,97.2,94.8,B
22.6,65.9,100,B
15.7,87.4,92.9,B
17.2,72,100,B
12.3,94.9,71,B
16.9,87.4,98.6,B
12.6,77,67.5,B
19.4,93.2,84.3,B
12.4,100,66.4,B
17.6,83.9,92.2,B
14.8,93.7,95.7,B
22.9,73.5,100,B
14.6,95.7,68.6,B
2.6,89.9,54.9,B
23.8,78.1,100,B
8.7,77.7,62.9,B
10.4,80.2,66.3,B
10.8,95.8,73,B
24.6,85.6,100,B
0.1,90.4,54.9,B
37,86.8,100,B
22.4,96.4,100,B
16.6,100,87.5,B
14.6,75.1,75.6,B
17,94.9,92.9,B
18.6,79,76,B
19.5,92.4,100,B
18.9,71.9,87.2,B
15.6,76.6,95.9,B
13.6,98.4,80,B
13.9,89.1,70,B
13.6,90.2,93.3,B
22.9,84.4,100,B
19.2,82.5,100,B
0,93.4,51.4,B
19.6,88.1,94.5,B
16.4,86.5,97.2,B
14.9,77.7,81.7,B
12.3,79.7,62.5,B
22.9,71.4,100,B
21.6,81,90,B
9.6,100,67.5,B
17.8,85.7,100,B
8.2,100,45.7,B
5.3,86.4,44.4,B
10.6,96.3,71,B
21,69.1,100,B
21.7,75.6,100,B
18.6,91.9,100,B
20.1,86.5,100,B
18.6,100,100,B
10.5,87.7,71.4,B
18,83,90.6,B
20.6,83.5,99.1,B
20.3,91.6,100,B
23.3,83.1,100,B
20,74.2,100,B
17.5,87.7,100,B
22.5,81.5,100,B
14.8,98,75,B
8.8,92.5,51.5,B
13.9,90.2,85.6,B
9.8,89,83.9,B
10.3,88.1,59.8,C
14,81.4,93.9,C
9.5,100,64.3,C
12.8,86.5,81.4,C
1.7,93,51.2,C
16.5,100,72.4,C
15,87.6,76.2,C
9.3,79.6,65.8,C
19.6,100,99.1,C
21.6,89.4,100,C
3.7,91.4,45.1,C
9.7,95.4,78.9,C
9.6,94.2,62.5,C
8.4,100,53.7,C
20.8,75.3,85.9,C
13.6,77.6,79.8,C
13.1,86,81.4,C
1,100,45.4,C
19.4,86.2,100,C
6.3,82.7,61.9,C
15.4,90.4,84.1,C
16.9,81.1,93.6,C
24.5,78.9,100,C
5.8,70.2,66.4,C
0,100,52.5,C
16.3,65.4,94,C
27.6,87.9,100,C
23.7,93.6,100,C
16.5,88.6,98.1,C
11.6,85.1,61.1,C
20.6,70.2,100,C
8.2,72.7,58,C
18.3,83.9,98.9,C
18.5,68.3,72.8,C
22.4,65.6,91.3,C
34.3,81.6,100,C
17.7,77.9,90.1,C
11.4,82.7,74.4,C
14.8,67.7,91.2,C
2.6,62.5,67.3,C
10.1,82.4,67.3,C
12.1,76.2,67,C
11.3,94,75.6,C
16.1,76.9,74.5,C
9.2,94.6,79.9,C
22.8,62.2,100,C
15,84.6,94.1,C
14.9,75.8,85,C
12.7,97.4,79.1,C
16.1,81.8,94.7,C
20.8,89,100,C
8.9,77.9,73.4,C
10.4,100,82.2,C
12.9,71.2,76.2,C
5.6,88.1,64.1,C
9.3,88.2,63.3,C
11.7,95.5,81.5,C
21.1,97.1,83.2,C
16.8,87.9,83.6,C
16.4,100,95.6,C
21,86.7,100,C
14,89.7,79.6,C
17.7,100,89.1,C
14.3,75,93.4,C
16.9,82.9,92.5,C
10.9,82,77.1,C
0,93.4,50.2,C
14.1,91.2,82.5,C
25,84.6,100,C
21.5,91.6,98.9,C
21.8,84,100,C
23.7,88,100,C
15.6,90.3,73.9,C
16.4,60,95.4,C
10.7,92.4,75.7,C
12.8,82.4,87,C
19.3,91.4,100,C
23.4,68.5,100,C
14,88.6,97.5,C
11.8,80.5,69.6,C
15,89,100,C
19.2,86.1,100,C
4.9,74.2,87.6,C
0,77.9,51.2,C
11.1,90,65.3,C
6.5,83.8,69.2,C
11.4,85.6,63.1,C
14,60.5,71.5,C
11.8,84.1,77.2,C
25.2,88.8,87.9,C
17.3,100,95.7,C
17.1,88.6,100,C
19.4,78,100,C
7,92.8,78.4,C
22.3,98.7,96.5,C
14.5,95.5,86,C
19.7,80.7,100,C
7.5,97.1,60.6,C
4.1,82,64.5,C
20.7,76,99.1,C
17.6,98.9,100,C
8.7,85.8,64.3,C
8.9,74.9,63.4,C
22.9,86.8,100,C
6.7,75.7,76.9,C
26.5,81.7,100,C
8.7,95.7,85.1,C
19.5,83.3,100,C
12.7,80.9,79.5,C
19.2,98.8,83,C
11.2,74.3,89.6,C
13.9,89.7,84.3,C
15.3,79.7,93.6,C
8,83.5,76.9,C
20.2,79.8,100,C
11.4,65.3,100,C
13.4,94.2,87.6,C
8,72.7,76.7,C
0,79.8,14.6,C
13.7,82.1,91.3,C
31.9,81.8,100,C
20.5,71.7,100,C
14.9,83,65.2,C
13.2,85,80.3,C
15.2,87.5,88.3,C
18.8,82,100,C
6.7,87.1,73.3,C
22.8,86.8,100,C
20,82.6,100,C
20,99.6,92.6,C
18.1,64.5,100,C
15.1,74.6,98.2,C
19.7,89.8,95.8,C
19.1,83.1,98.9,C
12.5,76.3,89.6,C
11,100,83.4,C
15.7,97.2,95.4,C
25.8,69.6,100,C
6.3,82.7,69.2,C
4.7,90.7,68.1,C
16.2,86.9,92.6,C
15.4,78.8,82.7,C
16.2,87.8,78.5,C
16.7,72.9,79.5,C
13.4,92.3,85,C
25.4,94,100,C
3.8,90.2,55.2,C
9.2,91.3,77.3,C
14.3,92,79.6,C
3.5,82.6,46.1,C
13.8,91.6,90.6,C
26.6,88,100,C
15.1,88.5,87.5,C
16.6,85.4,90.3,C
6.2,93.6,62.9,C
10.7,76,74.4,C
12.4,72.5,87.9,C
12.8,77.7,83.4,C
24,99.3,100,C
18.9,76.9,100,C
7.2,86.7,59,C
16.7,88.6,100,C
18.5,100,92.5,C
23,71.9,93.8,C
26.1,79.3,100,C
7.9,78,75,C
9.3,81.3,55.1,C
6.2,84.3,85.7,C
13.4,97.8,72.3,C
18.3,78.1,93.3,C
21.9,100,100,C
14.5,86.9,75.9,C
12.8,71.4,88.8,C
16.1,72.7,99.1,C
9.2,100,57.4,C
29.6,93.9,100,C
3.7,72.3,63,C
16.3,69,93.2,C
29.2,100,100,C
15,79.1,88.9,C
13.7,91.3,86.8,C
12.5,83.6,84.8,C
